[2023-12-22T22:35:23.030+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848271052, 0.00204)
[2023-12-22T22:35:23.030+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300009, 0.00121)
[2023-12-22T22:35:23.031+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300010, 0.00164)
[2023-12-22T22:35:23.031+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300010, 0.00068)
[2023-12-22T22:35:23.031+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300012, 0.00045)
[2023-12-22T22:35:23.031+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300012, 0.00065)
[2023-12-22T22:35:23.032+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300012, 0.00248)
[2023-12-22T22:35:23.032+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300013, 0.00228)
[2023-12-22T22:35:23.032+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300014, 0.00054)
[2023-12-22T22:35:23.033+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300015, 0.00138)
[2023-12-22T22:35:23.033+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300015, 0.0023)
[2023-12-22T22:35:23.033+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848271360, 0.00025)
[2023-12-22T22:35:23.033+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300017, 0.00134)
[2023-12-22T22:35:23.034+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300019, 0.0023)
[2023-12-22T22:35:23.034+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300022, 0.0017)
[2023-12-22T22:35:23.034+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300297, 0.04003)
[2023-12-22T22:35:23.035+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300347, 0.0006)
[2023-12-22T22:35:23.035+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848301347, 0.00952)
[2023-12-22T22:35:23.035+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848301561, 0.01255)
[2023-12-22T22:35:23.035+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848303268, 0.00298)
[2023-12-22T22:35:23.036+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848303700, 0.00022)
[2023-12-22T22:35:23.036+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848304149, 0.00023)
[2023-12-22T22:35:23.036+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848273443, 0.02361)
[2023-12-22T22:35:23.037+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848304424, 0.00028)
[2023-12-22T22:35:23.037+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848304454, 0.03039)
[2023-12-22T22:35:23.037+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848304722, 0.01828)
[2023-12-22T22:35:23.037+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848304976, 0.08607)
[2023-12-22T22:35:23.038+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848305234, 0.00604)
[2023-12-22T22:35:23.038+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848305450, 0.00117)
[2023-12-22T22:35:23.039+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848305583, 0.00023)
[2023-12-22T22:35:23.039+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848305925, 0.0005)
[2023-12-22T22:35:23.040+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848306257, 0.00492)
[2023-12-22T22:35:23.040+0000] {logging_mixin.py:188} INFO - (41984.07, 'BINANCE', 'BTCUSDT', 1702848308010, 0.00162)
[2023-12-22T22:35:23.041+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848275111, 0.00119)
[2023-12-22T22:35:23.041+0000] {logging_mixin.py:188} INFO - (41984.07, 'BINANCE', 'BTCUSDT', 1702848308299, 0.00428)
[2023-12-22T22:35:23.041+0000] {logging_mixin.py:188} INFO - (41984.07, 'BINANCE', 'BTCUSDT', 1702848309335, 0.00722)
[2023-12-22T22:35:23.042+0000] {logging_mixin.py:188} INFO - (41984.07, 'BINANCE', 'BTCUSDT', 1702848309487, 0.00144)
[2023-12-22T22:35:23.042+0000] {logging_mixin.py:188} INFO - (41984.08, 'BINANCE', 'BTCUSDT', 1702848310770, 0.00217)
[2023-12-22T22:35:23.042+0000] {logging_mixin.py:188} INFO - (41984.07, 'BINANCE', 'BTCUSDT', 1702848311664, 0.01543)
[2023-12-22T22:35:23.042+0000] {logging_mixin.py:188} INFO - (41984.08, 'BINANCE', 'BTCUSDT', 1702848311837, 0.00252)
[2023-12-22T22:35:23.043+0000] {logging_mixin.py:188} INFO - (41981.11, 'BINANCE', 'BTCUSDT', 1702848275334, 0.00024)
[2023-12-22T22:35:23.043+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848275771, 0.00082)
[2023-12-22T22:35:23.043+0000] {logging_mixin.py:188} INFO - (41978.0, 'BINANCE', 'BTCUSDT', 1702848278053, 0.00047)
[2023-12-22T22:35:23.044+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848280478, 0.00281)
[2023-12-22T22:35:23.044+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848280589, 0.00038)
[2023-12-22T22:35:23.044+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848259354, 0.00042)
[2023-12-22T22:35:23.045+0000] {logging_mixin.py:188} INFO - (41971.11, 'BINANCE', 'BTCUSDT', 1702848280889, 0.026)
[2023-12-22T22:35:23.045+0000] {logging_mixin.py:188} INFO - (41971.11, 'BINANCE', 'BTCUSDT', 1702848281247, 0.00476)
[2023-12-22T22:35:23.045+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848281620, 0.05597)
[2023-12-22T22:35:23.045+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848281620, 0.00112)
[2023-12-22T22:35:23.046+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848282012, 0.00121)
[2023-12-22T22:35:23.046+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848282447, 0.00116)
[2023-12-22T22:35:23.046+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848282447, 0.00185)
[2023-12-22T22:35:23.046+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848282239, 0.00366)
[2023-12-22T22:35:23.047+0000] {logging_mixin.py:188} INFO - (41971.11, 'BINANCE', 'BTCUSDT', 1702848283506, 0.0238)
[2023-12-22T22:35:23.047+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848284936, 0.00407)
[2023-12-22T22:35:23.047+0000] {logging_mixin.py:188} INFO - (41981.11, 'BINANCE', 'BTCUSDT', 1702848260770, 0.00165)
[2023-12-22T22:35:23.048+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848284961, 0.00042)
[2023-12-22T22:35:23.048+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848284961, 0.00697)
[2023-12-22T22:35:23.048+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848284961, 0.01148)
[2023-12-22T22:35:23.049+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848284961, 0.00035)
[2023-12-22T22:35:23.049+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848284961, 0.01142)
[2023-12-22T22:35:23.049+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848284961, 0.00038)
[2023-12-22T22:35:23.050+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848284984, 0.01148)
[2023-12-22T22:35:23.050+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848284984, 0.01142)
[2023-12-22T22:35:23.050+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848284984, 0.00699)
[2023-12-22T22:35:23.051+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848284984, 0.0065)
[2023-12-22T22:35:23.051+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848260909, 0.00047)
[2023-12-22T22:35:23.051+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848285007, 1e-05)
[2023-12-22T22:35:23.051+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848285007, 0.01148)
[2023-12-22T22:35:23.052+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848285007, 0.01141)
[2023-12-22T22:35:23.052+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848285010, 1e-05)
[2023-12-22T22:35:23.052+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848285010, 0.01148)
[2023-12-22T22:35:23.052+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848285010, 0.00711)
[2023-12-22T22:35:23.053+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848285033, 0.00431)
[2023-12-22T22:35:23.053+0000] {logging_mixin.py:188} INFO - (41972.9, 'BINANCE', 'BTCUSDT', 1702848291172, 0.00104)
[2023-12-22T22:35:23.053+0000] {logging_mixin.py:188} INFO - (41972.9, 'BINANCE', 'BTCUSDT', 1702848292098, 0.00697)
[2023-12-22T22:35:23.054+0000] {logging_mixin.py:188} INFO - (41972.9, 'BINANCE', 'BTCUSDT', 1702848292098, 0.0067)
[2023-12-22T22:35:23.054+0000] {logging_mixin.py:188} INFO - (41981.11, 'BINANCE', 'BTCUSDT', 1702848260991, 0.00126)
[2023-12-22T22:35:23.055+0000] {logging_mixin.py:188} INFO - (41973.16, 'BINANCE', 'BTCUSDT', 1702848292098, 0.00062)
[2023-12-22T22:35:23.055+0000] {logging_mixin.py:188} INFO - (41973.21, 'BINANCE', 'BTCUSDT', 1702848292098, 0.00657)
[2023-12-22T22:35:23.055+0000] {logging_mixin.py:188} INFO - (41973.42, 'BINANCE', 'BTCUSDT', 1702848292104, 0.00062)
[2023-12-22T22:35:23.056+0000] {logging_mixin.py:188} INFO - (41973.68, 'BINANCE', 'BTCUSDT', 1702848292104, 0.00062)
[2023-12-22T22:35:23.056+0000] {logging_mixin.py:188} INFO - (41973.94, 'BINANCE', 'BTCUSDT', 1702848292104, 0.00062)
[2023-12-22T22:35:23.057+0000] {logging_mixin.py:188} INFO - (41974.2, 'BINANCE', 'BTCUSDT', 1702848292104, 0.00062)
[2023-12-22T22:35:23.057+0000] {logging_mixin.py:188} INFO - (41974.46, 'BINANCE', 'BTCUSDT', 1702848292104, 0.00062)
[2023-12-22T22:35:23.058+0000] {logging_mixin.py:188} INFO - (41974.72, 'BINANCE', 'BTCUSDT', 1702848292104, 0.00062)
[2023-12-22T22:35:23.058+0000] {logging_mixin.py:188} INFO - (41974.98, 'BINANCE', 'BTCUSDT', 1702848292104, 0.00062)
[2023-12-22T22:35:23.058+0000] {logging_mixin.py:188} INFO - (41975.24, 'BINANCE', 'BTCUSDT', 1702848292104, 0.00062)
[2023-12-22T22:35:23.059+0000] {logging_mixin.py:188} INFO - (41981.11, 'BINANCE', 'BTCUSDT', 1702848260993, 0.00085)
[2023-12-22T22:35:23.059+0000] {logging_mixin.py:188} INFO - (41975.5, 'BINANCE', 'BTCUSDT', 1702848292104, 0.00062)
[2023-12-22T22:35:23.060+0000] {logging_mixin.py:188} INFO - (41975.51, 'BINANCE', 'BTCUSDT', 1702848292430, 0.00558)
[2023-12-22T22:35:23.060+0000] {logging_mixin.py:188} INFO - (41975.51, 'BINANCE', 'BTCUSDT', 1702848292430, 0.23288)
[2023-12-22T22:35:23.060+0000] {logging_mixin.py:188} INFO - (41975.51, 'BINANCE', 'BTCUSDT', 1702848293679, 0.10308)
[2023-12-22T22:35:23.061+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848298619, 0.00019)
[2023-12-22T22:35:23.061+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299063, 0.00121)
[2023-12-22T22:35:23.062+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299120, 0.0029)
[2023-12-22T22:35:23.063+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299153, 0.00403)
[2023-12-22T22:35:23.063+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299195, 0.00034)
[2023-12-22T22:35:23.063+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299500, 0.00037)
[2023-12-22T22:35:23.064+0000] {logging_mixin.py:188} INFO - (41981.11, 'BINANCE', 'BTCUSDT', 1702848261017, 0.00019)
[2023-12-22T22:35:23.064+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299930, 0.00272)
[2023-12-22T22:35:23.065+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299977, 0.00107)
[2023-12-22T22:35:23.066+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299981, 0.00082)
[2023-12-22T22:35:23.066+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299982, 0.00266)
[2023-12-22T22:35:23.067+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299983, 0.0026)
[2023-12-22T22:35:23.068+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299984, 0.00103)
[2023-12-22T22:35:23.068+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299985, 0.00089)
[2023-12-22T22:35:23.069+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299985, 0.00145)
[2023-12-22T22:35:23.069+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299985, 0.00061)
[2023-12-22T22:35:23.069+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299986, 0.00073)
[2023-12-22T22:35:23.070+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848267070, 0.04652)
[2023-12-22T22:35:23.070+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299987, 0.00112)
[2023-12-22T22:35:23.071+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299988, 0.00132)
[2023-12-22T22:35:23.071+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299989, 0.00265)
[2023-12-22T22:35:23.072+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299990, 0.00264)
[2023-12-22T22:35:23.072+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299991, 0.00236)
[2023-12-22T22:35:23.073+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299994, 0.00043)
[2023-12-22T22:35:23.074+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299995, 0.00199)
[2023-12-22T22:35:23.074+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299995, 0.00255)
[2023-12-22T22:35:23.075+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299996, 0.00135)
[2023-12-22T22:35:23.075+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299997, 0.00178)
[2023-12-22T22:35:23.076+0000] {logging_mixin.py:188} INFO - (41981.11, 'BINANCE', 'BTCUSDT', 1702848270875, 0.00222)
[2023-12-22T22:35:23.076+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299998, 0.00117)
[2023-12-22T22:35:23.076+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299998, 0.00215)
[2023-12-22T22:35:23.077+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300000, 0.00224)
[2023-12-22T22:35:23.077+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300002, 0.0021)
[2023-12-22T22:35:23.078+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300002, 0.00182)
[2023-12-22T22:35:23.078+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300003, 0.00102)
[2023-12-22T22:35:23.078+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300004, 0.0012)
[2023-12-22T22:35:23.079+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300004, 0.00246)
[2023-12-22T22:35:23.079+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300004, 0.00096)
[2023-12-22T22:35:23.080+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300005, 0.00117)
[2023-12-22T22:35:23.080+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848258958, 0.0005)
[2023-12-22T22:35:23.081+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848259251, 0.00119)
[2023-12-22T22:35:23.081+0000] {logging_mixin.py:188} INFO - (41981.11, 'BINANCE', 'BTCUSDT', 1702848270970, 0.00684)
[2023-12-22T22:35:23.081+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300006, 0.00243)
[2023-12-22T22:35:23.082+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300006, 0.00238)
[2023-12-22T22:35:23.082+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300007, 0.00205)
[2023-12-22T22:35:23.082+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300007, 0.00169)
[2023-12-22T22:35:23.083+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300007, 0.00252)
[2023-12-22T22:35:23.083+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300008, 0.00106)
[2023-12-22T22:35:23.083+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300008, 0.00183)
[2023-12-22T22:35:23.084+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300008, 0.00247)
[2023-12-22T22:35:23.084+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300008, 0.00253)
[2023-12-22T22:35:23.084+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300008, 0.00164)
[2023-12-22T22:35:23.085+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848271052, 0.00204)
[2023-12-22T22:35:23.085+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300009, 0.00121)
[2023-12-22T22:35:23.085+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300010, 0.00164)
[2023-12-22T22:35:23.086+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300010, 0.00068)
[2023-12-22T22:35:23.086+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300012, 0.00045)
[2023-12-22T22:35:23.086+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300012, 0.00065)
[2023-12-22T22:35:23.087+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300012, 0.00248)
[2023-12-22T22:35:23.087+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300013, 0.00228)
[2023-12-22T22:35:23.087+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300014, 0.00054)
[2023-12-22T22:35:23.088+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300015, 0.00138)
[2023-12-22T22:35:23.088+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300015, 0.0023)
[2023-12-22T22:35:23.089+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848271360, 0.00025)
[2023-12-22T22:35:23.089+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300017, 0.00134)
[2023-12-22T22:35:23.090+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300019, 0.0023)
[2023-12-22T22:35:23.090+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300022, 0.0017)
[2023-12-22T22:35:23.091+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300297, 0.04003)
[2023-12-22T22:35:23.091+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300347, 0.0006)
[2023-12-22T22:35:23.091+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848301347, 0.00952)
[2023-12-22T22:35:23.092+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848301561, 0.01255)
[2023-12-22T22:35:23.092+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848303268, 0.00298)
[2023-12-22T22:35:23.092+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848303700, 0.00022)
[2023-12-22T22:35:23.093+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848304149, 0.00023)
[2023-12-22T22:35:23.093+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848273443, 0.02361)
[2023-12-22T22:35:23.093+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848304424, 0.00028)
[2023-12-22T22:35:23.094+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848304454, 0.03039)
[2023-12-22T22:35:23.094+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848304722, 0.01828)
[2023-12-22T22:35:23.094+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848304976, 0.08607)
[2023-12-22T22:35:23.095+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848305234, 0.00604)
[2023-12-22T22:35:23.095+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848305450, 0.00117)
[2023-12-22T22:35:23.095+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848305583, 0.00023)
[2023-12-22T22:35:23.096+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848305925, 0.0005)
[2023-12-22T22:35:23.096+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848306257, 0.00492)
[2023-12-22T22:35:23.096+0000] {logging_mixin.py:188} INFO - (41984.07, 'BINANCE', 'BTCUSDT', 1702848308010, 0.00162)
[2023-12-22T22:35:23.096+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848275111, 0.00119)
[2023-12-22T22:35:23.097+0000] {logging_mixin.py:188} INFO - (41984.07, 'BINANCE', 'BTCUSDT', 1702848308299, 0.00428)
[2023-12-22T22:35:23.097+0000] {logging_mixin.py:188} INFO - (41984.07, 'BINANCE', 'BTCUSDT', 1702848309335, 0.00722)
[2023-12-22T22:35:23.097+0000] {logging_mixin.py:188} INFO - (41984.07, 'BINANCE', 'BTCUSDT', 1702848309487, 0.00144)
[2023-12-22T22:35:23.098+0000] {logging_mixin.py:188} INFO - (41984.08, 'BINANCE', 'BTCUSDT', 1702848310770, 0.00217)
[2023-12-22T22:35:23.098+0000] {logging_mixin.py:188} INFO - (41984.07, 'BINANCE', 'BTCUSDT', 1702848311664, 0.01543)
[2023-12-22T22:35:23.098+0000] {logging_mixin.py:188} INFO - (41984.08, 'BINANCE', 'BTCUSDT', 1702848311837, 0.00252)
[2023-12-22T22:35:23.099+0000] {logging_mixin.py:188} INFO - (41981.11, 'BINANCE', 'BTCUSDT', 1702848275334, 0.00024)
[2023-12-22T22:35:23.099+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848275771, 0.00082)
[2023-12-22T22:35:23.099+0000] {logging_mixin.py:188} INFO - (41978.0, 'BINANCE', 'BTCUSDT', 1702848278053, 0.00047)
[2023-12-22T22:35:23.100+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848280478, 0.00281)
[2023-12-22T22:35:23.100+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848280589, 0.00038)
